"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.150",1,9.46337411346586e-05,0.999905366258865,0.000155175436163527,1,856,5515481,0,522,2.89e-07
"result.151",1,9.48150318264874e-05,0.999905184968173,0.000155175464293691,1,856,5515480,0,523,2.9e-07
"result.152",1,9.55401945938028e-05,0.999904459805406,0.000155175576814448,1,856,5515476,0,527,2.91e-07
"result.153",1,9.62653573611182e-05,0.999903734642639,0.000155175689335369,1,856,5515472,0,531,2.92e-07
"result.154",1,9.71718108202624e-05,0.99990282818918,0.00015517582998675,1,856,5515467,0,536,2.93e-07
"result.155",1,9.7715682895749e-05,0.999902284317104,0.000155175914377701,1,856,5515464,0,539,2.94e-07
"result.156",1,9.78969735875778e-05,0.999902103026412,0.000155175942508038,1,856,5515463,0,540,2.95e-07
"result.157",1,9.89847177385509e-05,0.999901015282261,0.000155176111290277,1,856,5515457,0,546,2.96e-07
"result.158",1,9.95285898140374e-05,0.999900471410186,0.000155176195681533,1,856,5515454,0,549,2.97e-07
"result.159",1,0.000100797624656839,0.999899202375343,0.000155176392594823,1,856,5515447,0,556,2.98e-07
"result.160",1,0.000101522787424155,0.999898477212576,0.000155176505116927,1,856,5515443,0,560,2.99e-07
"result.161",1,0.000101885368807812,0.999898114631192,0.00015517656137804,1,856,5515441,0,562,3e-07
"result.162",1,0.000102429240883299,0.999897570759117,0.000155176645769787,1,856,5515438,0,565,3.01e-07
"result.163",1,0.000102973112958786,0.999897026887041,0.000155176730161625,1,856,5515435,0,568,3.02e-07
"result.164",1,0.000103516985034272,0.999896483014966,0.000155176814553555,1,856,5515432,0,571,3.03e-07
"result.165",1,0.000104242147801587,0.999895757852198,0.000155176927076271,1,856,5515428,0,575,3.04e-07
"result.166",1,0.000104786019877074,0.999895213980123,0.000155177011468415,1,856,5515425,0,578,3.05e-07
"result.167",1,0.000105329891952561,0.999894670108047,0.000155177095860651,1,856,5515422,0,581,3.06e-07
"result.168",1,0.000106417636103534,0.999893582363896,0.000155177264645398,1,856,5515416,0,587,3.07e-07
"result.169",1,0.00010696150817902,0.999893038491821,0.000155177349037909,1,856,5515413,0,590,3.08e-07
"result.170",1,0.000108230543021822,0.999891769456978,0.000155177545954126,1,856,5515406,0,597,3.09e-07
"result.171",1,0.000109136996480966,0.999890863003519,0.000155177686608873,1,856,5515401,0,602,3.1e-07
"result.172",1,0.000109680868556453,0.999890319131444,0.000155177771001843,1,856,5515398,0,605,3.11e-07
"result.173",1,0.000110224740631939,0.999889775259368,0.000155177855394905,1,856,5515395,0,608,3.12e-07
"result.174",1,0.000112037647550228,0.99988796235245,0.000155178136705775,1,856,5515385,0,618,3.13e-07
"result.175",1,0.00011330668239303,0.999886693317607,0.000155178333623991,1,856,5515378,0,625,3.14e-07
"result.176",1,0.000113850554468516,0.999886149445531,0.000155178418017665,1,856,5515375,0,628,3.15e-07
"result.177",1,0.000114394426544003,0.999885605573456,0.00015517850241143,1,856,5515372,0,631,3.16e-07
"result.178",1,0.000114757007927661,0.999885242992072,0.000155178558673992,1,856,5515370,0,633,3.17e-07
"result.179",1,0.000115119589311318,0.999884880410689,0.000155178614936594,1,856,5515368,0,635,3.18e-07
"result.180",1,0.000116207333462291,0.999883792666538,0.000155178783724646,1,856,5515362,0,641,3.19e-07
"result.181",1,0.000116932496229607,0.99988306750377,0.000155178896250218,1,856,5515358,0,645,3.2e-07
"result.182",1,0.000117295077613265,0.999882704922387,0.000155178952513065,1,856,5515356,0,647,3.21e-07
"result.183",1,0.000118564112456066,0.999881435887544,0.000155179149433351,1,856,5515349,0,654,3.22e-07
"result.184",1,0.00011965185660704,0.999880348143393,0.000155179318222566,1,856,5515343,0,660,3.23e-07
"result.185",1,0.000120558310066184,0.999879441689934,0.000155179458880525,1,856,5515338,0,665,3.24e-07
"result.186",1,0.000120920891449841,0.99987907910855,0.00015517951514378,1,856,5515336,0,667,3.25e-07
"result.187",1,0.000121464763525328,0.999878535236475,0.00015517959953874,1,856,5515333,0,670,3.26e-07
"result.188",1,0.00012273379836813,0.999877266201632,0.000155179796460668,1,856,5515326,0,677,3.27e-07
"result.189",1,0.000123640251827274,0.999876359748173,0.000155179937119494,1,856,5515321,0,682,3.28e-07
"result.190",1,0.00012436541459459,0.999875634585405,0.000155180049646739,1,856,5515317,0,686,3.29e-07
"result.191",1,0.000124909286670076,0.99987509071333,0.000155180134042279,1,856,5515314,0,689,3.3e-07
"result.192",1,0.000125997030821049,0.999874002969179,0.000155180302833636,1,856,5515308,0,695,3.31e-07
"result.193",1,0.000126540902896536,0.999873459097103,0.000155180387229452,1,856,5515305,0,698,3.32e-07
"result.194",1,0.00012744735635568,0.999872552643644,0.000155180527889349,1,856,5515300,0,703,3.33e-07
"result.195",1,0.000127991228431167,0.999872008771569,0.00015518061228541,1,856,5515297,0,706,3.34e-07
"result.196",1,0.000128535100506653,0.999871464899493,0.000155180696681562,1,856,5515294,0,709,3.35e-07
"result.197",1,0.000128897681890311,0.99987110231811,0.000155180752945715,1,856,5515292,0,711,3.36e-07
"result.198",1,0.000129260263273968,0.999870739736726,0.000155180809209909,1,856,5515290,0,713,3.37e-07
"result.199",1,0.000129804135349455,0.999870195864651,0.000155180893606275,1,856,5515287,0,716,3.38e-07
"result.200",1,0.000130710588808599,0.999869289411191,0.00015518103426709,1,856,5515282,0,721,3.39e-07
"result.201",1,0.00013216091434323,0.999867839085657,0.000155181259324925,1,856,5515274,0,729,3.4e-07
