"","Sensitivity","Specificity","X1.Spec","PPV","NPV","TP","FP","FN","TN","Cutoff","X.0.867..0.858..0.876.."
"150",1,5.287536936496e-05,0.999947124630635,0.000259069771776305,1,1529,5900356,0,312,3.71e-07,"0.867 (0.858, 0.876)"
"151",1,5.42311480666257e-05,0.999945768851933,0.000259070122945632,1,1529,5900348,0,320,3.72e-07,"0.867 (0.858, 0.876)"
"152",1,5.45700927420421e-05,0.999945429907258,0.000259070210738113,1,1529,5900346,0,322,3.73e-07,"0.867 (0.858, 0.876)"
"153",1,5.52479820928749e-05,0.999944752017907,0.000259070386323252,1,1529,5900342,0,326,3.74e-07,"0.867 (0.858, 0.876)"
"154",1,5.59258714437077e-05,0.999944074128556,0.00025907056190863,1,1529,5900338,0,330,3.75e-07,"0.867 (0.858, 0.876)"
"155",1,5.64342884568323e-05,0.999943565711543,0.000259070693597819,1,1529,5900335,0,333,3.76e-07,"0.867 (0.858, 0.876)"
"156",1,5.81290118339144e-05,0.999941870988166,0.000259071132562751,1,1529,5900325,0,343,3.77e-07,"0.867 (0.858, 0.876)"
"157",1,5.8637428847039e-05,0.999941362571153,0.00025907126425252,1,1529,5900322,0,346,3.78e-07,"0.867 (0.858, 0.876)"
"158",1,5.98237352109965e-05,0.999940176264789,0.00025907157152917,1,1529,5900315,0,353,3.79e-07,"0.867 (0.858, 0.876)"
"159",1,6.01626798864129e-05,0.999939837320114,0.000259071659322632,1,1529,5900313,0,355,3.8e-07,"0.867 (0.858, 0.876)"
"160",1,6.06710968995375e-05,0.9999393289031,0.000259071791012937,1,1529,5900310,0,358,3.81e-07,"0.867 (0.858, 0.876)"
"161",1,6.21963479389113e-05,0.999937803652061,0.000259072186084655,1,1529,5900301,0,367,3.82e-07,"0.867 (0.858, 0.876)"
"162",1,6.30437096274524e-05,0.999936956290373,0.000259072405569464,1,1529,5900296,0,372,3.83e-07,"0.867 (0.858, 0.876)"
"163",1,6.33826543028688e-05,0.999936617345697,0.000259072493363491,1,1529,5900294,0,374,3.84e-07,"0.867 (0.858, 0.876)"
"164",1,6.42300159914098e-05,0.999935769984009,0.000259072712848821,1,1529,5900289,0,379,3.85e-07,"0.867 (0.858, 0.876)"
"165",1,6.5246850017659e-05,0.999934753149982,0.000259072976231706,1,1529,5900283,0,385,3.86e-07,"0.867 (0.858, 0.876)"
"166",1,6.57552670307836e-05,0.999934244732969,0.00025907310792335,1,1529,5900280,0,388,3.87e-07,"0.867 (0.858, 0.876)"
"167",1,6.60942117062001e-05,0.999933905788294,0.000259073195717854,1,1529,5900278,0,390,3.88e-07,"0.867 (0.858, 0.876)"
"168",1,6.67721010570329e-05,0.999933227898943,0.00025907337130704,1,1529,5900274,0,394,3.89e-07,"0.867 (0.858, 0.876)"
"169",1,6.76194627455739e-05,0.999932380537254,0.000259073590793856,1,1529,5900269,0,399,3.9e-07,"0.867 (0.858, 0.876)"
"170",1,6.86362967718231e-05,0.999931363703228,0.000259073854178527,1,1529,5900263,0,405,3.91e-07,"0.867 (0.858, 0.876)"
"171",1,6.89752414472395e-05,0.999931024758553,0.000259073941973537,1,1529,5900261,0,407,3.92e-07,"0.867 (0.858, 0.876)"
"172",1,6.96531307980724e-05,0.999930346869202,0.000259074117563734,1,1529,5900257,0,411,3.93e-07,"0.867 (0.858, 0.876)"
"173",1,7.0161547811197e-05,0.999929838452189,0.000259074249256538,1,1529,5900254,0,414,3.94e-07,"0.867 (0.858, 0.876)"
"174",1,7.03310201489052e-05,0.999929668979851,0.000259074293154169,1,1529,5900253,0,415,3.95e-07,"0.867 (0.858, 0.876)"
"175",1,7.05004924866134e-05,0.999929499507513,0.000259074337051815,1,1529,5900252,0,416,3.96e-07,"0.867 (0.858, 0.876)"
"176",1,7.06699648243216e-05,0.999929330035176,0.000259074380949476,1,1529,5900251,0,417,3.97e-07,"0.867 (0.858, 0.876)"
"177",1,7.1008909499738e-05,0.9999289910905,0.000259074468744843,1,1529,5900249,0,419,3.98e-07,"0.867 (0.858, 0.876)"
"178",1,7.15173265128626e-05,0.999928482673487,0.000259074600438004,1,1529,5900246,0,422,3.99e-07,"0.867 (0.858, 0.876)"
"179",1,7.16867988505708e-05,0.999928313201149,0.000259074644335754,1,1529,5900245,0,423,4e-07,"0.867 (0.858, 0.876)"
"180",1,7.1856271188279e-05,0.999928143728812,0.000259074688233519,1,1529,5900244,0,424,4.02e-07,"0.867 (0.858, 0.876)"
"181",1,7.30425775522365e-05,0.999926957422448,0.000259074995518291,1,1529,5900237,0,431,4.04e-07,"0.867 (0.858, 0.876)"
"182",1,7.37204669030693e-05,0.999926279533097,0.000259075171109916,1,1529,5900233,0,435,4.05e-07,"0.867 (0.858, 0.876)"
"183",1,7.42288839161939e-05,0.999925771116084,0.000259075302803791,1,1529,5900230,0,438,4.06e-07,"0.867 (0.858, 0.876)"
"184",1,7.55846626178595e-05,0.999924415337382,0.000259075653988113,1,1529,5900222,0,446,4.07e-07,"0.867 (0.858, 0.876)"
"185",1,7.66014966441088e-05,0.999923398503356,0.000259075917376979,1,1529,5900216,0,452,4.08e-07,"0.867 (0.858, 0.876)"
"186",1,7.74488583326498e-05,0.999922551141667,0.00025907613686811,1,1529,5900211,0,457,4.09e-07,"0.867 (0.858, 0.876)"
"187",1,7.81267476834826e-05,0.999921873252317,0.000259076312461283,1,1529,5900207,0,461,4.11e-07,"0.867 (0.858, 0.876)"
"188",1,7.96519987228565e-05,0.999920348001277,0.000259076707546791,1,1529,5900198,0,470,4.12e-07,"0.867 (0.858, 0.876)"
"189",1,8.10077774245221e-05,0.999918992222576,0.000259077058734921,1,1529,5900190,0,478,4.13e-07,"0.867 (0.858, 0.876)"
"190",1,8.13467220999385e-05,0.9999186532779,0.000259077146532102,1,1529,5900188,0,480,4.14e-07,"0.867 (0.858, 0.876)"
"191",1,8.15161944376467e-05,0.999918483805562,0.000259077190430715,1,1529,5900187,0,481,4.16e-07,"0.867 (0.858, 0.876)"
"192",1,8.20246114507713e-05,0.999917975388549,0.000259077322126644,1,1529,5900184,0,484,4.17e-07,"0.867 (0.858, 0.876)"
"193",1,8.21940837884795e-05,0.999917805916211,0.000259077366025316,1,1529,5900183,0,485,4.2e-07,"0.867 (0.858, 0.876)"
"194",1,8.2533028463896e-05,0.999917466971536,0.000259077453822706,1,1529,5900181,0,487,4.21e-07,"0.867 (0.858, 0.876)"
"195",1,8.27025008016042e-05,0.999917297499198,0.000259077497721423,1,1529,5900180,0,488,4.22e-07,"0.867 (0.858, 0.876)"
"196",1,8.30414454770206e-05,0.999916958554523,0.000259077585518902,1,1529,5900178,0,490,4.23e-07,"0.867 (0.858, 0.876)"
"197",1,8.3380390152437e-05,0.999916619609848,0.00025907767331644,1,1529,5900176,0,492,4.24e-07,"0.867 (0.858, 0.876)"
