"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.135",0.999938657833395,0.00210932390281239,0.997890676097188,0.00260671650466838,0.999924156238149,16301,6237160,1,13184,0.000183
"result.136",0.999938657833395,0.00221091831105616,0.997789081688944,0.00260698122736823,0.999927641099855,16301,6236525,1,13819,0.000184
"result.137",0.999877315666789,0.00231187275452359,0.997688127245476,0.00260708480894867,0.999861610849709,16300,6235894,2,14450,0.000185
"result.138",0.999877315666789,0.00241842688978399,0.997581573110216,0.00260736255200329,0.9998677073687,16300,6235228,2,15116,0.000186
"result.139",0.999877315666789,0.00253634039982439,0.997463659600176,0.00260766997328818,0.999873856827499,16300,6234491,2,15853,0.000187
"result.140",0.999877315666789,0.0026521740243417,0.997347825975658,0.0026079720425397,0.999879365462332,16300,6233767,2,16577,0.000188
"result.141",0.999877315666789,0.00276624774572408,0.997233752254276,0.0026082695907449,0.999884339578996,16300,6233054,2,17290,0.000189
"result.142",0.999877315666789,0.00289088088591604,0.997109119114084,0.00260859475960519,0.999889325438548,16300,6232275,2,18069,0.00019
"result.143",0.999877315666789,0.00300223475699897,0.996997765243001,0.00260888535133283,0.999893429956839,16300,6231579,2,18765,0.000191
"result.144",0.999877315666789,0.00314462691973434,0.996855373080266,0.0026092570356695,0.999898255074528,16300,6230689,2,19655,0.000192
"result.145",0.999877315666789,0.00326990002470264,0.996730099975297,0.00260958412194539,0.999902152641879,16300,6229906,2,20438,0.000193
"result.146",0.999877315666789,0.00341773188803688,0.996582268111963,0.00260997021431538,0.999906384572178,16300,6228982,2,21362,0.000194
"result.147",0.999877315666789,0.00357644315256888,0.996423556847431,0.00261038484759676,0.999910538557882,16300,6227990,2,22354,0.000195
"result.148",0.999877315666789,0.00372155516560369,0.996278444834396,0.00261076406813422,0.999914026565791,16300,6227083,2,23261,0.000196
"result.149",0.999877315666789,0.00388442620118189,0.996115573798818,0.00261118982949571,0.999917631069561,16300,6226065,2,24279,0.000197
"result.150",0.999877315666789,0.00403833772989135,0.995961662270109,0.00261159229743697,0.999920770114487,16300,6225103,2,25241,0.000198
"result.151",0.999877315666789,0.00420040880949912,0.995799591190501,0.00261201623616473,0.999923826934796,16300,6224090,2,26254,0.000199
"result.152",0.999815973500184,0.00435016056716238,0.995649839432838,0.0026122482211181,0.999889677490531,16299,6223154,3,27190,2e-04
"result.153",0.999815973500184,0.00452951069573131,0.995470489304269,0.00261271763028964,0.999894045348591,16299,6222033,3,28311,0.000201
