"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.153",0.999951772365565,0.00153992443939036,0.99846007556061,0.00623052585049202,0.999803979221798,41468,6614150,2,10201,0.000262
"result.154",0.999951772365565,0.00157706015276063,0.998422939847239,0.00623075614706436,0.99980859412384,41468,6613904,2,10447,0.000263
"result.155",0.999951772365565,0.00160619508235599,0.998393804917644,0.0062309368388138,0.99981206540124,41468,6613711,2,10640,0.000264
"result.156",0.999951772365565,0.00163895300837773,0.998361046991622,0.00623114001251998,0.999815820977991,41468,6613494,2,10857,0.000265
"result.157",0.999951772365565,0.00168046650909651,0.998319533490904,0.00623139750975515,0.999820370037722,41468,6613219,2,11132,0.000266
"result.158",0.999951772365565,0.00173375474820099,0.998266245251799,0.00623172807376366,0.999825890136676,41468,6612866,2,11485,0.000267
"result.159",0.999951772365565,0.00177240004341557,0.998227599956584,0.00623196782484365,0.999829685770246,41468,6612610,2,11741,0.000268
"result.160",0.999951772365565,0.00181255492047447,0.998187445079526,0.00623221696074371,0.999833458239654,41468,6612344,2,12007,0.000269
"result.161",0.999951772365565,0.00185406842119326,0.998145931578807,0.00623247454699658,0.999837186584175,41468,6612069,2,12282,0.00027
"result.162",0.999951772365565,0.00189286467459227,0.998107135325408,0.00623271529230695,0.999840523084284,41468,6611812,2,12539,0.000271
"result.163",0.999951772365565,0.00193513296623322,0.998064867033767,0.00623297760408838,0.999844005927775,41468,6611532,2,12819,0.000272
"result.164",0.999951772365565,0.0019851001252802,0.99801489987472,0.00623328772256669,0.999847931873479,41468,6611201,2,13150,0.000273
"result.165",0.999927658548348,0.00203265195337626,0.997967348046624,0.00623343349338197,0.99977724977725,41467,6610886,3,13465,0.000274
"result.166",0.999927658548348,0.00208443061063642,0.997915569389364,0.00623375491017001,0.999782781840562,41467,6610543,3,13808,0.000275
"result.167",0.999927658548348,0.00215130508633978,0.99784869491366,0.00623417008353069,0.999789532762733,41467,6610100,3,14251,0.000276
"result.168",0.999927658548348,0.00220293278541551,0.997797067214584,0.00623449063894245,0.999794464236777,41467,6609758,3,14593,0.000277
"result.169",0.999927658548348,0.00224369149521213,0.997756308504788,0.00623474373229108,0.999798197228575,41467,6609488,3,14863,0.000278
"result.170",0.999927658548348,0.00229048853238604,0.997709511467614,0.00623503434629273,0.999802319451766,41467,6609178,3,15173,0.000279
"result.171",0.999927658548348,0.00233230394947369,0.997667696050526,0.00623529404688583,0.999805862939235,41467,6608901,3,15450,0.00028
"result.172",0.999927658548348,0.00238061056849192,0.997619389431508,0.00623559408894492,0.999809801559627,41467,6608581,3,15770,0.000281
"result.173",0.999927658548348,0.00243208730938321,0.997567912690617,0.00623591385304646,0.999813826486285,41467,6608240,3,16111,0.000282
"result.174",0.999927658548348,0.00249050812675838,0.997509491873242,0.00623627679221334,0.999818192836798,41467,6607853,3,16498,0.000283
"result.175",0.999927658548348,0.00253805995485445,0.997461940045146,0.00623657223900418,0.99982159847764,41467,6607538,3,16813,0.000284
"result.176",0.999927658548348,0.00259617885586075,0.997403821144139,0.00623693337865602,0.999825591535376,41467,6607153,3,17198,0.000285
"result.177",0.999927658548348,0.00265293913320716,0.997347060866793,0.00623728611645421,0.999829322409968,41467,6606777,3,17574,0.000286
"result.178",0.999927658548348,0.00271317144879551,0.997286828551205,0.00623766047493586,0.999833110814419,41467,6606378,3,17973,0.000287
"result.179",0.999927658548348,0.0027764229280725,0.997223577071928,0.00623805364662954,0.999836912204403,41467,6605959,3,18392,0.000288
"result.180",0.999927658548348,0.0028387686582429,0.997161231341757,0.00623844123668782,0.999840493407061,41467,6605546,3,18805,0.000289
"result.181",0.999927658548348,0.00289100019005635,0.997108999809944,0.00623876598601976,0.99984337475201,41467,6605200,3,19151,0.00029
"result.182",0.999927658548348,0.00296028999671062,0.997039710003289,0.00623919684728495,0.99984704022842,41467,6604741,3,19610,0.000291
"result.183",0.999927658548348,0.00302731543059841,0.996972684569402,0.00623961368474716,0.999850426285087,41467,6604297,3,20054,0.000292
"result.184",0.999927658548348,0.00308664199708017,0.99691335800292,0.00623998268870165,0.999853300733496,41467,6603904,3,20447,0.000293
"result.185",0.999927658548348,0.00313857161252476,0.996861428387475,0.00624030572035298,0.999855727613735,41467,6603560,3,20791,0.000294
"result.186",0.999927658548348,0.00320710662825687,0.996792893371743,0.00624073209821007,0.999858810240964,41467,6603106,3,21245,0.000295
"result.187",0.999903544731131,0.00327911368223091,0.996720886317769,0.00624103056924984,0.999815888796833,41466,6602629,4,21722,0.000296
"result.188",0.999903544731131,0.00335081881983609,0.996649181180164,0.0062414767852466,0.999819827935679,41466,6602154,4,22197,0.000297
"result.189",0.999879430913914,0.00342524120476104,0.996574758795239,0.00624179038603212,0.999779687155761,41465,6601661,5,22690,0.000298
"result.190",0.999879430913914,0.0034883417258536,0.996511658274146,0.00624218315783262,0.999783671526846,41465,6601243,5,23108,0.000299
"result.191",0.999879430913914,0.00355808440706116,0.996441915592939,0.00624261733154719,0.999787910922587,41465,6600781,5,23570,3e-04
"result.192",0.999879430913914,0.00364609302858499,0.996353906971415,0.00624316530362953,0.999793029224273,41465,6600198,5,24153,0.000301
"result.193",0.999879430913914,0.00372655374088722,0.996273446259113,0.00624366636400733,0.999797497063707,41465,6599665,5,24686,0.000302
"result.194",0.999879430913914,0.00380897690958707,0.996191023090413,0.00624417972877084,0.999801878194714,41465,6599119,5,25232,0.000303
"result.195",0.999855317096696,0.00387751192531917,0.996122488074681,0.00624445699774809,0.999766464269033,41464,6598665,6,25686,0.000304
"result.196",0.999855317096696,0.00394695269015787,0.996053047309842,0.00624488961723845,0.999770572040379,41464,6598205,6,26146,0.000305
"result.197",0.999831203279479,0.00402333753148044,0.99597666246852,0.00624521588718576,0.999737424509547,41463,6597699,7,26652,0.000306
"result.198",0.999831203279479,0.00411361052577075,0.995886389474229,0.00624577845449709,0.99974318523682,41463,6597101,7,27250,0.000307
"result.199",0.999831203279479,0.00418969345072446,0.995810306549275,0.00624625267020786,0.999747847700011,41463,6596597,7,27754,0.000308
"result.200",0.999831203279479,0.00427347524308419,0.995726524756916,0.00624677495534843,0.999752789942082,41463,6596042,7,28309,0.000309
"result.201",0.999831203279479,0.00435861565910381,0.995641384340896,0.00624730579946394,0.999757617728532,41463,6595478,7,28873,0.00031
"result.202",0.999831203279479,0.00443062271307785,0.995569377286922,0.00624775482847492,0.999761556017304,41463,6595001,7,29350,0.000311
"result.203",0.999831203279479,0.00450912096898247,0.995490879031018,0.00624824440953691,0.999765706061519,41463,6594481,7,29870,0.000312
"result.204",0.999831203279479,0.00458852497399368,0.995411475026006,0.00624873971767867,0.999769759563201,41463,6593955,7,30396,0.000313
"result.205",0.999831203279479,0.00467140101724682,0.995328598982753,0.0062492567675413,0.99977384337038,41463,6593406,7,30945,0.000314
"result.206",0.999831203279479,0.00475216364591792,0.995247836354082,0.0062497607144892,0.999777686029155,41463,6592871,7,31480,0.000315
"result.207",0.999807089462262,0.00482960519453151,0.995170394805469,0.00625009421419333,0.999750007812256,41462,6592358,8,31993,0.000316
"result.208",0.999807089462262,0.00491066973957147,0.995089330260429,0.00625060019299644,0.999754133628373,41462,6591821,8,32530,0.000317
"result.209",0.999807089462262,0.00499747069561984,0.99500252930438,0.00625114206746324,0.999758403044122,41462,6591246,8,33105,0.000318
"result.210",0.999782975645045,0.00507687470063105,0.994923125299369,0.00625148800975124,0.999732461355529,41461,6590720,9,33631,0.000319
"result.211",0.999782975645045,0.00517122356590102,0.994828776434099,0.00625207718972742,0.999737341310375,41461,6590095,9,34256,0.00032
"result.212",0.999782975645045,0.00526210039292906,0.994737899607071,0.00625264479289104,0.999741876272693,41461,6589493,9,34858,0.000321
"result.213",0.999782975645045,0.0053383342760672,0.994661665723933,0.00625312101789788,0.999745561461043,41461,6588988,9,35363,0.000322
"result.214",0.999758861827827,0.00543675901231683,0.994563240987683,0.0062535860831917,0.999722414989591,41460,6588336,10,36015,0.000323
"result.215",0.999758861827827,0.00553457991582874,0.994465420084171,0.00625419737196997,0.999727319826575,41460,6587688,10,36663,0.000324
